artist,album,track
Zoe Lister-Jones,"The Dirty Dishes EP (Original Songs from the Motion Picture ""Band Aid"")",Love Is a Drip
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",I Think I Need a Little (Change)
Mirah,Understanding,Love Jetty
Fana Hues,Icarus,Icarus
Mitski,Puberty 2,I Bet on Losing Dogs
Sango,Da Rocinha 3,Tamborzão (Intro)
Sango,Da Rocinha 3,Agorinha
Beirut,The Flying Club Cup,The Flying Club Cup
SAULT,5,Don't Waste My Time
T.I.,Us Or Else: Letter To The System,Lazy
Big K.R.I.T.,TDT,1 Oh Oh
Sango,In The Comfort Of,Khlorine (feat. Smino)
Tacocat,This Mess Is a Place,New World
DJ Shadow,Our Pathetic Age,Kings & Queens (feat. Run The Jewels)
Sango,In The Comfort Of,Changing Channels (feat. James Vincent McMorrow)
T.I.,Us Or Else: Letter To The System,I Believe
T.I.,Us Or Else: Letter To The System,Pain
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Big Fat Zucchini
Dirty Projectors,Mount Wittenberg Orca,All We Are
Big K.R.I.T.,TDT,Look What I Got
Run The Jewels,Run the Jewels 3,Don't Get Captured
Björk,Utopia,Utopia
Mitski,Be the Cowboy,Nobody
Cardi B,Money,Money
Flower,The Funky Breaks,2
Beirut,The Flying Club Cup,A Call to Arms
Kacey Musgraves,High Horse Remix,High Horse - Violents Remix
Björk,Utopia,Tabula Rasa
First Beige,Press!,Slow
Mirah,Changing Light,Goat Shepherd
Tori Amos,The Light Princess,Prologue: Once Upon A Time
Mirah,Understanding,Lake/Ocean
Goodie Mob,Dirty South Classics,What It Ain't (Ghetto Enuff) (feat. TLC)
Galaxy 21,The Funky Breaks,Sound The Alarm
Mitski,Puberty 2,A Loving Feeling
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",We Are the Crystal Gems (Main Title)
Jidenna,The Chief,Bully of the Earth
Yelawolf,Radioactive,Throw It Up
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Comet
Tori Amos,The Light Princess,The Wedding
Tacocat,This Mess Is a Place,Little Friend
Mitski,Puberty 2,A Burning Hill
Sango,In The Comfort Of,One More Thing
Tori Amos,The Light Princess,Gravity / Epilogue: Once Upon A Time - Medley
Goodie Mob,Still Standing,Black Ice (Sky High) (feat. OutKast)
Mitski,Be the Cowboy,Me and My Husband
Tori Amos,The Light Princess,Zephyrus Call Reprise & Althea Reprise
Chastity Belt,Different Now,Different Now
Big Sean,Hall Of Fame,Sierra Leone
Taylor Swift,reputation,Call It What You Want
Sango,Da Rocinha 3,Só Você (feat. Elhae & Esta)
Tenor Fly,The Funky Breaks,Tribal Base
P.M. Dawn,The Funky Breaks,A Watcher's Point Of View (Don't Cha Think) - Underground Mix
Mitski,"Retired from Sad, New Career in Business",Humpty
Run The Jewels,Run the Jewels 3,Thieves! (Screamed the Ghost) [feat. Tunde Adebimpe]
Foxy Brown,Chyna Doll,Job
T.I.,Us Or Else: Letter To The System,Letter To The System
Taylor Swift,reputation,Gorgeous
Zoe Lister-Jones,"The Dirty Dishes EP (Original Songs from the Motion Picture ""Band Aid"")",Love Song
Taylor Swift,reputation,New Year’s Day
Björk,Debut,One Day
Neko Case,Fox Confessor Brings The Flood,Star Witness
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Steven and the Stevens
Mitski,Puberty 2,Dan the Dancer
Beirut,The Flying Club Cup,St. Apollonia
Björk,Vespertine,Harm of Will
Jidenna,Boomerang,"Bambi Too (feat. Maleek Berry, Quavo & Sarkodie)"
Björk,Utopia,Saint
Tori Amos,The Light Princess,Scandal
Björk,Vespertine,Pagan Poetry
Tacocat,This Mess Is a Place,Meet Me at La Palma
Lotte Kestner,The Bluebird of Happiness,When It's Time
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Do It for Her
Taylor Swift,reputation,This Is Why We Can't Have Nice Things
CZARFACE,Czarface Meets Metal Face,Phantoms
Tacocat,This Mess Is a Place,Grains of Salt
Cardi B,Invasion of Privacy,She Bad
Nirvana,MTV Unplugged In New York,Polly
Björk,Debut,Big Time Sensuality
Tacocat,This Mess Is a Place,The Joke of Life
Tori Amos,The Light Princess,Althea
Mirah,Changing Light,Turned the Heat Off
T.I.,Us Or Else: Letter To The System,Take Da Wheel
Lotte Kestner,The Bluebird of Happiness,Little Things
Tori Amos,The Light Princess,The Solution
Nirvana,MTV Unplugged In New York,Come As You Are
Juliana Hatfield,Juliana Hatfield Sings the Police,It's Alright for You
Björk,Vulnicura,Black Lake
Run The Jewels,Run the Jewels 3,Oh Mama
Mirah,Changing Light,24th St
Björk,Utopia,Arisen My Senses
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Still Not Giving Up
Nirvana,In Utero - 20th Anniversary Remaster,Serve The Servants
